Question,Answer
Why have many Osho groups on Facebook disappeared?,"Oh yes! Alas! OSHO International Foundation is aggressive on copyright issues.
They are churning out lot of new titles by rehashing the old material and most of the new books are meaningless, confusing and without any logical flow. They are actually screwing the gems of Osho. Surprisingly they are modifying the matter also. Most of Osho’s new books {or rather Osho International Foundation’s book) are having Amazon BSR above One Hundred thousand that means they are selling less than a book per day.
They have lost vision of Osho. Now it is all about money, honey."
What if someone is mentally ill but is conscious? Does that mean he or she is possessed by jinns or is it a medical issue?,"It is certainly not a medical issue, it is a matter of unbalanced third chakras which controls the mind's ‘I' or ego.
Whenever there is energy blockage at second and third chakras then the survival response of the brain is not interpreted correctly by the body and that is why a person seems to be possessed by Jins or bad soul. Some take it as effects of black magic.
She will be fine you just have to take her to some enlightened master, he can get her right with one-touch and following by few sittings."
"Many years back, my guru had blessed and given a coin. Lately my sister taken that coin from my mom. They not even informed me. I politely asked to return it. She says she will return in a year from now. I feel cheated. What should I do?","This is how we create hell on earth and in fact, heaven and hell are on earth not somewhere in the sky.
The coin is just a device given to you to feel the presence of your Guru. Sooner or later you have to transcend that psychological attachment also.
You have to detach yourself from all good or bad in life so that you get attached to your true-self.
It is time to leave your Guru, this is the message existence is giving you."
Why does our logical mind almost stop functioning when hijacked by strong emotions?,"There are hardwired responses known as psychic knots. Tantra calls it chakras. When strong emotions take over it unbalances your third chakra called Manipura Chakra or Solar plexus that is why you feel like vomiting.
This chakra is related to your survival and in case of emotional death your third chakra starts burning your Prana (life force) and your brain gets very little of it hence your logical mind doesn't work.
Chakras are energy gates whenever there is crisis corresponding gate is opened and energy is released normally these gates are little open, not wide open."
What makes people want a healthy spiritual life while others don't?,"Sufferings, yes. As Buddha said , ""Life is a pain , there are reasons for that and there is possibility of transcending the pain and sorrows."" One who turns inward becomes spiritual otherwise people go on moving in circles outside. I met an old aquantance he was with a girl half of his age. I asked him, ""Who is she?"" He said, ""My fourth wife."" If he couldn't learn from 3 divorce that marriage is not for him when will he learn? People change religion just to find themselves in yet another prison.
People do thousand and one thing in the name of soulmate,twin flames and religions but they remain phoney and outward. The real liberation happens when one finds the one who is seeking - true-self."
"If I am able to overcome all my fears, will I finally achieve the realization of the Self and permanent awakening?","You can overcome all your fears only when you can actually feel the death that is why Aghori live in cemeteries. This is just first step towards awakening you just break the ‘fight or flight’ response by being one with death.
Then there are many other steps like foregoing your ego, forgiving everybody in your past and present ( including yourself), then there is love and compassion. Last one is killing your God.
To become divine (God) you have to kill your psychological God."
Are we as humans figments of God’s imagination?,"God is the result of human imagination. There is no God. God is a psychological need for humans. Animals don't have God, because they don't have such creative imagination.
If animals have God, how would it look like? Dogs will have God looking exactly like a dog, horses will have God looking exactly like a horse. That is why human God looks like humans only.
All our Gods are born out of our fear of death. There is no such thing as God."
Is Sadhguru Jaggi Vasudev a Buddha?,"He is Buddha turned upside-down. Sidhartha became Buddha after his lavish life , after experiencing every aspect of life that is why he remained begger rest of his life after enlightenment. But Jaggi has become Sidhartha after enlightenment. Though his enlightenment and Buddha's enlightenment is the same but the person before enlightenment matters the most and that is why everybody's enlightenment is looked at differently."
There is something bothering me but I don't know if it happened while dreaming (nap) or if it was a thought. How can I know what it was?,"Certainly, it happened during the nap. Sometimes when you have a quick nap you slip into a deep sleep so quickly and your mind is shocked because of sudden disappearance it feels like a death.
Then it remains shocked for a long time till you have deep sleep for hours maybe 3–3 hours. This is something that typically resembles fear of the unknown (death). It happens at fight or flight response of the mind.
Your mind is at flight mode it needs rest.
Grab some Rum or wine and drink till you sleep.
You will be fine."
Why is a snake used to represent the Kundalini?,"Kundalini is called serpent because ascension of kundalini is like a serpent uncontrolled, uninformed and it stings like a serpent.
There are all the possibilities of going sex maniac to berserk. The release of energy is enormous and it can be uncontrollable and pure sexual."
How do you heal yourself during separation from your twin flame?,"Love has many manifestations. Twin flame is one of them.
A twin flame (love) is the lowest rung of the spiritual ladder.
There are higher rungs of it.
Next rung is prayer and devotion to God - surrender to higher power God's will and keep the faith you will be healed soon.
Yet another rung is search for Moksha, your true-self. All love and relations throw you back to the body but the Moksha will lead you beyond the body-mind and help you experience the ultimate where you become pure bliss and complete in your aloneness. You don't need an outer reason to be blissful. Where you talk directly to your soul.
Everything that is based on outer things or persons is momentary.
You can remain at lowest rung of love for twin flame. It will always result in pain and sorrow.
You can choose to be religious and pray God everyday then you will be more or less slave of yet another outer thing.
You are capable of transcending God also and reach your true-self, where you won’t depend on outer hooks to be yourself.
Search for your truth - the ultimate bliss."
How did Gautama Buddha get to know that he got enlightened? What is the criteria for that?,"In fact, Siddhartha realised there was nothing to attain. Everything is real only our mind's “I” is an illusion. Our ego is an illusion.
This is not about Buddha this is universal that happens to everybody who enters samadhi it doesn't matter who he is."
What are the benefits of interacting with your subconscious mind?,"The subconscious mind is a dictator, it is nearly hard to interact with it. It enforces his will because subconscious mind constitutes 92% of our brain and it is densely packed with the conditioning of childhood and our DNA.
The direct dialogue with the subconscious mind is impossible but yes it can be transformed with suggestions and stories.
Zen Masters use koans to deprogram the subconscious mind. Hypnosis is also an effective technique to reprogram subconscious mind."
Is it possible that the subconscious can communicate with other people’s subconscious?,"The value system of the subconscious mind is based on emotions and value system of the conscious mind is based on a rational interpretation of external experiences.
In the physical presence of the person, you generally communicate to subconscious mind by expressions and gestures. You might ignore it because we are too much entangled in our conscious mind always dreaming and planning. If you become little more alter you can read the subconscious mind of the person perfectly.
The subconscious mind communicates directly to the other's subconscious mind also. It is just a matter of being meditative and aware."
"When organisations of International significance like United Nations, World Economic Forum, etc. don't find it difficult to mention Sadhguru as Sadhguru, why certain section of media, (especially Tamilnadu) mention him as Jaggi Vasudev?","Sadhguru is a term used for someone who is enlightened and sharing his experience, not knowledge.
A pundit says scriptures are saying the right thing because it appeals to the logic, an enlightened one says scriptures are saying the right thing because that is his experience too.
There can be many Sadhguru, but one Sadhguru Jaggi Vasudev."
"From the spiritual perspective, is our real self a watcher (of say a movie) or the witness (witness to the watcher)?",True-self is the watcher of witness. Witness still has subject in it but watcher doesn't have subject or object. Watcher is awareness where there is no ‘I'.
Does Kundalini Awakening happen when we come face to face with our twin flame or it happens when we see them first time through photos?,"Through photo, voice or description only mind works which is illusionary. When one comes in contact with twin flame face to face then something deeper than mind happens and the journey of souls starts.
You may miss it if you remain in your mind if you are grounded in your heart then your heart will know the moment you come in contact with your twin flame."
How do you know when your solar plexus chakra is awakening?,"Awakening of chakras never happens one by one, it happens in pairs.
When Muladhara chakra meets Svadhisthana then Brahma Granthi (psychic knot) is broken and energy rises to Manipura chakra (solar plexus).
While energy is stuck in Manipura chakra you will have digestion problems and kidney problems.
When Manipura (solar plexus) meets Anahata Chakra then the Vishnu Granthi is broken and energy rises to Vishuddhi Chakra. During this, you will have high blood pressure and increased heartbeats up to 160+.
If the passage is clear, which happens very rarely, then you might not have any symptoms."
"Due to my extreme interest in spirituality, I lost total interest in my studies (which is based on vain materialism). What should I do now?","What is spirituality?
Spirituality is not renunciation. Spirituality comes with indulgence. If you don't explore every aspect of life you won't be enlightened.
Spirituality comes after you have seen and experienced everything in life and now you are bored with everything like Siddhartha then you leave your castle and queens in search of the truth.
You are not ready to complete your studies and you think you are spiritual, you got the meaning wrong.
Renunciation is just a little part of it there is a lot of studies to be done before enlightenment.
When Bhakti, Dhyan and Gyan come together then enlightenment happens."
How did Lord Shiva get his third eye?,"Every human has third eye not only Shiva, but Shiva was first to realise that and formulate the meditation techniques to awaken the Seven chakras in human subtle body. That is how Vigyan Bhairav Tantra was born. Third eye is our spiritual eyes and center of spiritual body like Hara is our physical body CENTER. You too have third eye without third eye you can't sleep. Physical organ called pineal gland is right between two eyes and 2 inch inside between right and left brain.
Anyone can awaken third eye though it is arduous but quite possible.
Benefits of awakening third eye :-
Duality of life will end.
Crystal clear vision billions of High definition colours.
Crystal clear logic.
Crystal clear intuition .
You can literally see faraway stars and into the sky."
How much do we know about comas?,"As a mystic what I know if someone enters Samadhi without preparation his brain is damaged and now it is nearly impossible to return to a normal state.
What happens in Samadhi is totally understood by the mystics. The conscious mind is left behind and the unconscious mind from where all the body functions like heartbeats etc are operated keeps on working.
Sometimes if the brain is heeled one can return to a normal state otherwise it is unlikely that one can return from samadhi."
"How can we consider Dronacharya as an ideal Guru when he was lacking the basic moral judgement that made him to support the wrong, why there should be an award named after him?","Nothing succeeds like success. Morality is society's norm people can bend it whenever they see name and money.
Awards and ambitions are there to promote competition and in competition, the only winner is remembered there is no place for a loser with moral values hence you have to name it even if you name it ABC that won't have changed the nature of business."
What is inner pilgrimage?,"There are seven Holy pilgrimage places inside. If you reach seventh you reach your soul. You get a chance to meet God face to face.
Outer pilgrimages are superficial they are toys to play for your mind which needs everyday new things but the only place you will meet God is Sahasrara."
If Rishi Munis (great Yogis and sages) were able to control all their senses through intense meditation then why were they not able to control their anger?,"Yogic austerities can not make one enlightened and silence and compassion are attributes of an enlightened persons like Krishna, Buddha and Mahavira.
Rishi Munis were pious egoists because they used to perform Sadhana and rituals for years and that used to become their ego. They used to be in the pursuit of Sidhhis, which are again way of ego. Ego is disease and disease can’t be healthy.They used to be religious not spiritual.
Spirituality makes the person more human whereas religiousness makes one phony.
Enlightened beings are close to their true-nature which is the nature of every human being. True-nature or true-self is also known as soul."
Can enlightenment be achieved without any kind of special practice?,"Enlightenment doesn't happen till your mind is simplified, that is why it is called work of millions of birth. It requires oversimplified mind which requires one to gain knowledge by inference, direct cognition and reading words of the enlightened beings.
It is like changing gnome of you. It is specifically your achievement by experiencing non-achievement.
People befool others that it is your natural state but it is not. It is divine state of your being.
Enlightenment is your state of becoming one with the existence, going closer to God. Becoming God is the only purpose of being human.
God is not a person, it is the creative force of existence."
Why is it that you resist a particular experience after experiencing it without knowing why?,"If you have experienced something that stirred your fear of death or death of ego then your ego tries to avoid the same experience.
Both are related to fear of unknown. That is the reason one avoids same experience again without knowing why."
"If an empty mind is the devil's house, then why do people meditate?","There is nothing as such empty mind. Mind is chaos, noise or commotion.
The mind is like a monkey it keeps jumping from one branch to other, it keeps planning and dreaming. It can't keep quiet even in sleep.
Opposite of mind is no-mind. We meditate to attain no-mind. Meditation is not concentration, mind is not contemplation.
Meditation is witnessing. Witnessing our body, emotions and thoughts.
When you meditate by witnessing your thoughts, there are the gaps between thoughts and that is where meditation happens, if you keep meditating for years then one fine day one of the gap will become permanent and you will attain no-mind.
One step more you will attain samadhi."
Can your chakras or kundalini be somehow dissolved or deactivated by some guru forcefully? Is it possible?,"Kundalini can return to dormant state from heart chakra but if it crosses fourth chakra then it would be hard.
Master can help the kundalini reach third eye (which you can say he can dissolve) with just one touch at the third eye and in few weeks."
Is there something like tantric marriage through which we can make two people into one life?,"Finding your twin flame is the process of tantra because it involves kundalini.
Marriage is a social institution not spiritual. Twin flames and soulmates are spiritual or tantric union.
There is nothing we call tantric marriage."
"If Gautama Buddha is considered to be the ninth avatar of Vishnu, then why is Buddhism a separate religion from Hinduism?","Religions are stories and stories can have all the imagination running up and down, right and left.
You are never born twice and you never die once. Whether Vishnu or Buddha, they were humans like you and me. It is all construct of our mind that weaves such meaningless stories.
When Ernest Hemingway was asked about his clear writing style.
He said,
“The most essential gift for a good writer is a built-in, shockproof, shit detector. This is the writer’s radar and all great writers have had it.” - Ernest Hemingway
So to be a clear thinker one should always try to develop his ability to detect crap."
"I've noticed that strong concentration and visualization of childhood memories can temporarily pierce Vishnu knot, activate anahata and bring bliss. Is this a form of tantra and is it useful? Should Vishnu knot be pierced by prana or relaxed only?","If prana crosses Anahata Chakra then it will bring you sudden surge in energy levels , from throat chakra energy doesn't go back to lower chakras. You are still stuck at heart chakra. Visualisation of childhood shows that energy is comforting your heart chakra.
Forgiveness and let go purify your heart chakra and Agya chakra (third eye) and that is how all three chakras are awakened simultaneously."
Is it possible to have a thought that isn't influenced by something that is already existing?,"The mind is a chain of thoughts, it is impossible to have thought without subject and object. Sometimes object merges into the subject or vice-versa.
You have asked for something we know as the state of no-mind. From no-mind thoughts arise without subject and object.
But no-mind happens to a self-realized and enlightened person."
How different is the ego you slip back into after enlightenment compared to the one before enlightenment?,"Enlightenment doesn't happen till your mind is simplified, that is why it is called work of millions of birth.
It is like changing gnome of you. It is specifically your achievement by experiencing non-achievement.
People befool others that it is your natural state but it is not. It is divine state of your being.
Enlightenment is your state of becoming one with the existence, going closer to God.
Becoming God is the only purpose of being human and becoming ego of God is the only purpose we are born with.
So the ego of an Enlightened person is of God.
God is not a person, it is the creative force of existence."
Krishna in Gita says that anger is harmful & leads to veiling of judgement. (Bhagavad Gita 2.63). But he himself is not able to control anger & attack Bhishma with chariot wheel. How can we follow Krishna's words when he himself don't follow them?,"You needn't follow anyone. Just follow yourself.
Remember whatsoever is done unconsciously is a sin and your anger become beautiful when it is conscious.
When a mother tells her kid not to go on the street even though she is angry but her anger has the beauty of love and care.
Being unconscious is the only sin one can commit."
How do you differentiate between a spiritual experience and a mental disorder or delusion?,"Every spiritual experience is the result of extreme mental disorder.
Most of the spiritual experiences happen at three dimensions - sleeping (unconscious), dreaming and waking.
Spiritual experiences that happen in the first two states are not noticeable.
But at the third level spiritual experience, they become pretty clear because they happen when energy hits the third eye.
At third eye one jumps out of States of mind and acquire fourth, Hindu call it Turiya or Samadhi.
The whole ego constructs and belief system collapse and you are renewed as fresh as new birth but below the third eye everything is a more or less mental disorder."
What is the correct and righteous way of leaving a guru?,"Hate him from the bottom of your heart.
You have to be detached from Guru to get attached to God. Then you have to break free of God too.
Buddha said, “ If you meet Buddha on the street, just kill him.” God is the imagination (Maya) and until you destroy that you won't break out of illusion (Maya). God is a subtle hook of Maya.
Path of devotion is full of imaginations. If you continuously go on insisting on a certain hypothetical concept of God, one day you will see that hypothesis becoming a reality. Christian can't see Krishna. Mohammedan can't see Jesus and likewise Hindu can't see Jesus.
They all can see what they believe in what is their hypothesis. God is nothing but pure imagination. Very few people are able to drop that and very few people become enlightened. That is how Bhakti Marg works, you drop the last rope which is keeping you clinging to illusionary world called Maya. Destroy the idol of God. This is the last step to liberation. The only hook remaining this is where most people fail.
Ramakrishna was a great devotee, and the path of devotion is full of imagination. Ramakrishna was a devotee of the Mother Goddess of Calcutta. An enlightened man, Totapuri, was just passing by. He looked at Ramakrishna and he felt great compassion for the fellow. He told Ramakrishna: “You think that you have experienced the Mother Goddess.”
Ramakrishna said: “See, I have talked with her, and not one day, but every day.” He was an honest man, and what he was saying was true.
Totapuri laughed and he said: “Listen, that Mother Goddess is nothing but pure imagination. Unless you drop that you will never become enlightened. So sit down. I will remain here for three or four days, just for you. I have to help you in somehow dropping the Mother Goddess.”
Now that was a very difficult matter. Ramakrishna had loved the Mother Goddess his whole life, danced before her. He used to prepare food for her, He used to fight with the Mother Goddess. And he was not a traditional fellow; he was very untraditional, very loving, very innocent. His imagination of Mother Goddess was so real. Nobody could understand him.
Totapuri said to Ramakrishna: “You sit in silence. You don’t have any other ropes (hooks) that I can see, just this one rope. So when you see the Mother Goddess arising in your imagination, just take the sword and cut the mother in two pieces. They will fall, and with them will fall the last barrier.”
Ramakrishna said: “From where am I going to get the sword?” Totapuri said: “From where have you got this Mother Goddess? — From the same place. It is your imagination. That is also your imagination; only imagination is needed to cut imagination.” It took three days, because he would go into meditation and the Mother Goddess would be standing there, and he would forget all about Totapuri. He would forget all about the sword, and tears would star flowing from his eyes, and Totapuri would shake him saying: “What are you doing?”
Ramakrishna said: “What to do? — Because once I see her, she is so beautiful…. Don’t force me to cut her.” Totapuri said: “Listen, I can see even from the outside: your face immediately changes when you see the mother. I have brought a piece of glass, and the moment I see that you are seeing the mother — because your tears start flowing, your face becomes so beautiful — I will make the cut on your third eye centre with the glass. I have to do this because tomorrow I leave. I cannot waste any more time. This is the last chance: either you do it or I am finished with you.” And Totapuri said: “When I cut your forehead and blood starts flowing, don’t hesitate, just take the sword and cut the mother.” Ramakrishna cut the mother and he remained silent for six days.
Totapuri remained for six days, and when Ramakrishna opened his eyes he thanked Totapuri and said: “If you had not come, I would have lived my whole life with the hallucination. My last barrier has fallen away.” Ramakrishna became enlightened after he had cut the last barrier.
I say, “If you have finally to cut it, why start it in the beginning?” You may be very close to enlightenment. It might take time but it is possible if you can kill God in your imagination by your imagination. The meaning of Ganesha Chaturthi is exactly the same.
What I say on Dhyan Marg, let’s start with removing last hurdle i.e. God and understand life - Gyan Marg. You just need to meditate (Dhyan) and understand life (Gyan) . No prayer, No God is required. Your last pain will be the first step. Because in beginning you are strong enough to change beliefs easily. There is no God. In fact, neither there was God nor there will be.
If you can't deny God, at least start to doubt its existence. If you start to question its existence then your inquiry will go deeper into more existential questions. Your questions will have different quality. The fictional framework of mind will collapse and enormous energy will be released and will be available to other activities of the brain like logic, meditation and creativity. You will become more insightful. You will look at the world with a different point of view. Your question - “ Who am I? “ and “ Does God exist? “ will have a different direction.
When people ask me, “Which is the most important quality of human for enlightenment?” I tell them your ability to use imagination for a purpose. It can become a weakness and cause of sufferings. It can also become strength to attain enlightenment.
Same energy only direction is opposite. When Friedrich Nietzsche says, “God is Dead.” and When I say, “There is no God.” It is different. First of all, there has never been God, the statement - “God is dead.” becomes false. When I say, “There is no God.” I say it from my experience, from my realization. If there is God then that is inside of you and nowhere else, because God is experience of your true-self."
Why do people not want to be a monk?,"Being monk is quality and the becoming monk is repression.
People keep running away from life, some become monks, some become yogis. Some go to monastery, some go to Himalaya.
What is inside of them, they keep avoiding? Some know it as God, some know it as true-self, yet some people call it enlightenment.
Truth is inside. There is nowhere to go but in."
What is ego? What is the importance and necessity of ego in life?,"Much like our body ego is inner construct. Your body gives physical boundary and ego gives mental boundary.
Ego is not constant phenomena it is shifting sands.
When your are with your wife or lover it is different , when with opponent it is different.
When with your servant it is boss and when with your boss it is servant.
Here is list of layers :-
Layer one : In this people live artificial life like if they go to funeral they cry with others but their tears mean nothing. They say Hello but to avoid people. Frederick S. Perls has called this layer CHICKENSHIT.
Layer two : This layer is pure ego. It is like - I AM PRESIDENT OF AMERICA. I AM HUSBAND OF MISS UNIVERSE. People in this layer are bit better than layer one but dangerous because they become politicians, police officers etc. Frederick S. Perls has called this layer BULLSHIT.
Layer three: When something bad happens in layer two like death of loved one or divorce then people like poets, authors, musicians, lyricists or people good at heart fall to third layer. This layer is called CHAOS. Here people either become alcoholic or druggist or go back to layer two.If one remains meditative and aware then he enters next layer.
Deeper layers of ego throw you close to true-self."
How can you describe the toxic world of self-help gurus?,"Self-help gurus are as confused and disturbed as their readers that is why they keep cranking out new books.
Every week new flavour. What they seem to miss that they harm people by telling them something they think life is.
Recently bestseller - “ Think like a Monk” was authored by a failed monk. But he looks very artificial while bragging about his life as a monk. Monks are taught to silence their mind, not to think.
Self-help gurus are as pathless as anybody who's reading them."
Why do people like Lalu Yadav have a strong presence in Bihar? Is it because Mahavira and Buddha were so successful there?,"Buddha and Mahavira no doubt touched the peaks of human consciousness.
They were successful in the spiritual world. No other person could reach those peaks in recent human history.
Whereas Lalu is concerned, he is funny and straight despite of all his shenanigans he is popular and his presence does scare opponents."
Can you provide Osho's discourse on Ajhun Chet Ganwar and Yoga: The Alpha and Omega?,Check out at oshoworld.com.
"Is enlightenment or the spiritual path a result of brain wash of ignoring the dark side of one's life? Is it necessary to ignore tough situation, can't it be solved?","Spiritual path is about dropping character, being fluid and live here and now. Character is closed vessel , it is automatic, it needs feedback from other.
Live as a witness without any this or that beyond duality of life.
Enlightenment is brainwash. Washing your brain of all the conditioning of religion, society and education."
Does spiritual knowledge make you unemotional?,"Spiritual knowledge makes you confused, egoistic and know-it-all.
But spiritual experience makes you more human.
It fills you with compassion for everybody. It throws you closer to your true-self.
It gives you balanced life, you start to live by heart not mind."
Does meditation make you lazy and unproductive?,"Meditation is a alpha state of mind it relaxes and spares energy with that spared energy you become active.
Many people complain the sudden increase in libido after few weeks of meditation.
There are deeper states of mind like Theta state, it will make you more insightful. Your intuition will have new heights.
Meditation is the solution to all the mind related problem."
"I’m schizophrenic. How do I meditate? When I close my eyes, there are pictures. What do I do with them?","This is a lack of concentration. You need to practise concentration before you start to meditate.
Chakra meditation will help you organise your brain as it uses all the faculties of our brain.
Chakra meditation uses shapes and colours, touch (mudras) and sound literally it works multidimensionally.
You can switch to normal meditation after a few months of chakra meditation."
"After watching something about Annabelle, I feel negative energy or supernatural energy. Is it my fear or real something is there?","It is nothing but fear of death. All fear are fear of death.
Life is duality where everything has opposite side.
We have day and night, sadness and happiness, love and hate and God and devils or demons.
Every negative side is face of death and positive side is face of life.
If you understand the death you will be able to enjoy life truly.
If you understand ego (negative emotions) you will start to love.
Love dissolves every fear, let center of your life be love.
Sleep God is there to help you."
What is the introductory specialty of a spiritual relationship?,"G.o. t.o. hell. This is the only message that will put you on the path of seeking.
Love is beautiful but not all love are great. Humans are prone to very subtle ego problems.
Love is divine but now how many of you know of that.
.00099%
Just check out does your wife love you without your wallet?
Why did your last love leave you?
There is only one thing you should love that is yourself not anything else."
"Do I really need a guru in physical form to attain samadhi? If yes, how can I find mine?","No, you don't but it helps to have one in final stages just before Samadhi.
As the brain is rewired many times after Samadhi, Guru can make your journey easier because he has already travelled the path if he is enlightened.
Samadhi is the start of a new life, it is not the end.
The presence of Guru will benefit you like a catalyst.
You will soar higher and higher within few years maybe 2–3 years and the joy of being with pure consciousness will fill your being like a light from the sky.
But it will be purely optional as an enlightened master like Buddha is hard to find.
There is a beautiful parable about Buddha. When Buddha attained samadhi. He didn't come out of it for seven days. All the devatas (Gods) gathered at his feet and requested Buddha not to remain silent. They said , “ So many people for lifetimes wait for someone to become a Buddha and deliver the message after coming back from samadhi, to speak and tell what he has known. Please speak.”
But Buddha said, “ There is no one left here to speak , there is no desire left to speak. Moreover what I have witnessed- it is hard for me to believe that it can be spoken and where is the chance of listeners understanding it?”
When Gods didnt agree, Buddha said, “I will speak; but these things that I may say to somebody , I myself would not have understood had someone else told me before my own realisation. So how would anybody else understand? Through my experience of Samadhi I have come to one more conclusion , that those who will be able to understand what I have to say can also reach without me; and those who would not be able to understand what I have to say- there is no sense in racking one's brain in front of them.”"
How do you shield from outside negative energy?,"By expanding your Aura you can help others because it is not about protecting yourself from negative energies.
Focus on the positive aspect of your being.
Send some positive vibes you will be amazed how it will come back to you.
Here are the steps:-
Share positive things with people.
Turn your negative emotions into positive by practising compassion, gratitude and forgiveness.
Live here and now.
You are the world, the world is not you."
"How can I get rid of my focus in breath? When I try to get rid of it, I have a fear then who will take care of it? And that's why I can't focus any where? I am just stuck in this situation please please God's sake help me.","This is the problem of Agya Chakra. Probably your pineal gland is calcified and it is causing lack of general awareness.
To decalcify the pineal gland, you will need to make changes to diet.
You can try this:-
Just sit comfortably and focus on breathing but visualise your God - Shiva or Krishna ( any Blue God, because Agya Chakra responds to blue colour - the colour of the sky).
Put right hand's palm on your forehead and left hand's palm at heart.
Keep repeating Shiva is there to take care of me (suggestion).
When your mind calms down then remove your focus to outer sounds and keep it there as long as you feel comfortable.
PS: Agya Chakra is the seat of your God."
I am 23 years old and I want to go deeper into spirituality. How do I ensure that I don't go crazy in this process?,"
You want to have cake and eat it too.
Forget going crazy.
Spirituality is about dying and resurrection.
You will have to live death before you come to new life.
Eat, sleep and drink.
You can’t have honey without flies.
Image Credit: google.in"
Is it possible for a meditator to be compassionless? Are meditations and compassion not related?,"Absolutely no.
You are trying to embrace the diametrically opposite poles.
Can you love your daughter and keep planning to kill her.
The answer is flat ‘no'.
Compassion is our nature."
How do you know if you're enlightened?,"Enlightenment is not a certified course. Enlightenment is a whole new life in itself.
Enlightenment is not something you can miss noticing, it is something felt by the people around you.
Those who have eyes will see it in your eyes, in your walk and talk.
Silence will surround you. Even birds and animals can notice the presence of an enlightened being.
It is like a piece of sky that is walking on the earth.
The answer is in your very question."
How is reality not what it is not?,"If you can touch it is reality, if you can see and eat it is reality, if you can throw it is reality.
Everything else is reality, but on your plane of mind.
Reality is not what you know as truth, it is always beyond what you know."
Is Samadhi the same as emptiness?,"Samadhi is the total annihilation of mind (as master), what remains in samadhi is emptiness.
The mind is noise, chaos or filler of consciousness, emptiness is awareness aka pure consciousness.
During Samadhi (which happens for a few days to few weeks), the brain is rewired for a higher level of consciousness called superconsciousness."
Is a Kundalini awakened person also an enlightened one? How are they related?,"Yes, absolutely.
Buddha and Mahavira never talked about chakras and kundalini. It is not because they didn't have kundalini awakened rather their passage was so clear that they didn't feel any chakras. One feels chakras if there is blockage. Osho talked about kundalini and chakras extensively (he himself went through Anahata chakra blockage - also called “dark night of the soul”). Osho invented many meditations to awaken kundalini.
Kundalini is awakened with an explosion and all 7 chakras open and remain open forever when one becomes enlightened."
Which is the most powerful chakra?,"The mind is the chaos, noise and root of all health problems. Mind resides in Agya Chakra and your God also resides in Agya Chakra.
If your heart chakra and Agya Chakra is balanced then all your body is healed.
Prayer and Forgiveness purify your heart chakra and Agya chakra. You will have to forgive everybody (including yourself) to balance both the chakra."
Does time heal all wounds?,"Time doesn't heal wounds rather mind is time. Memories are something that is already dead but mind lingers on to memories.
Life is only here and now, past and future are in your mind.
When you start to live in now then your wounds disappear automatically."
How can I fall asleep at will?,"Death and sleep have similarity. Both have three stages ;-
Stage 1 : Lie down comfortably and relax your body by pull in (negative force/strength) all your energy from body.
Stage 2: Relax your breath. Deep inside, the breath contains the prana, and that’s why you die when the breath stops. The breath keeps us connected to the body.
Stage 3: Relax your mind by focusing on the gaps between inhale and exhale, exhale and inhale. Your thoughts will start to disappear and within few minutes you will enter dreaming and then deep sleep."
"Will meditation help me be happy, have high self-esteem and confidence, smarter, help me love and over make life clearer and better in every way?","Meditation can help you achieve all of the above with one condition.
You should be able to love yourself without all of the above.
Meditation happens to those who can love and what happens in love also happens in meditation.
Meditation is easier than love as other is not required.
Meditation and love move in the same dimension.
Only love can simplify your mind otherwise mind is chaos, noise or commotion.
It is not easy to sit quietly for 5 minutes.
A meditator has to be a lover first.
I am not talking about sex, I am talking about love. People misunderstand love and they know sex as love.
If sex is born out of love then sex becomes prayer or meditation.
That is how Tantric sex was born. Tantra considers sex as a meditation.
Let it be clear, you need to fall in love with yourself, your world before you start journey of meditation otherwise you will be concentrating or contemplating."
Why is spiritual truth so elusive?,"Spiritual truth is elusive because we are conditioned by society and religion.
All the education system and society try to condition you so that you serve them.
Nexus of politicians and priests exploits your conditioning to rule you.
Politicians say die for country.
Priests say die for religion.
And there are few poor who die for girls.
Nobody is interested in your growth. Everything is oriented outwardly, nothing is oriented inward.
No need to die for anything. Become selfish and start your journey to know your truth.
The day you will become real selfish you will find your true-self."
Meditating for some time but my third eye chakra is getting all the focus and not other chakra even when I focus it some where else.2 times something burst in my forehead and I saw a bright light.Why is my 3rd eye reacting in place of muldhara?,"Until you can feel the vibrations at Muladhara Chakra ( located between the perineum and the coccyx or the pelvic bone), everything is imagery - games of the mind.
The third eye can't be activated directly. It requires at least two lower chakras activated (Muladhara Chakra and Heart Chakra).
Agya Chakra is activated when you forgive everybody in your life (including yourself) or when you can understand the message of Jesus.
Forgiveness purifies your heart chakra and agya (third eye) chakra and in the deep silence of let go Agya chakra is activated.
Symptoms;-
When Agya Chakra is activated then all of sudden your world changes as your vision becomes HD and eyesight becomes super clear now you can see very far away into the sky and stars.
It will happen on full moon night (most probably)."
What is the nature of the soul?,"What is the soul?
What we call soul is true-self-nature of every human being. Only humans have soul, not animals and birds.
or
You can say the soul is our true self.
What is true-self like?
True-self remains intact from our desires and attachments. It is like the sky and clouds are our ambitions and desires.
True-self is unclouded and always full of compassion.
Gurdjieff used to say that not all humans have a soul. I guess he meant to say so that we come in this world and die like an animal of desires, not knowing our true-self.
The moment you know your true-self, your soul is born."
